time,x_meter,y_meter
0.000000,0.10001230,0.50000000
0.033708,0.11789088,0.50000000
0.067416,0.12990601,0.50000000
0.101124,0.14432600,0.50000000
0.134831,0.17211028,0.50000000
0.168539,0.19300615,0.50000000
0.202247,0.23263022,0.50000000
0.235955,0.27737766,0.50000000
0.269663,0.29384072,0.50000000
0.303371,0.33018586,0.50000000
0.337079,0.38175740,0.50000000
0.370787,0.42373678,0.50000000
0.404494,0.46737153,0.50000000
0.438202,0.50600273,0.50000000
0.471910,0.56684547,0.50000000
0.505618,0.62876215,0.50000000
0.539326,0.66587865,0.50000000
0.573034,0.73509686,0.50000000
0.606742,0.78385357,0.50000000
0.640449,0.85600375,0.50000000
0.674157,0.91935566,0.50000000
0.707865,1.00713653,0.50000000
0.741573,1.07136795,0.50000000
0.775281,1.16415059,0.50000000
0.808989,1.24324154,0.50000000
0.842697,1.32288135,0.50000000
0.876404,1.38550025,0.50000000
0.910112,1.49403865,0.50000000
0.943820,1.59053885,0.50000000
0.977528,1.68659578,0.50000000
1.011236,1.76744072,0.50000000
1.044944,1.87808448,0.50000000
1.078652,1.97603731,0.50000000
1.112360,2.08353516,0.50000000
1.146067,2.21087410,0.50000000
1.179775,2.30367191,0.50000000
1.213483,2.42574472,0.50000000
1.247191,2.55207708,0.50000000
1.280899,2.65740096,0.50000000
1.314607,2.78496428,0.50000000
1.348315,2.91287083,0.50000000
1.382022,3.04092945,0.50000000
1.415730,3.15940706,0.50000000
1.449438,3.30662556,0.50000000
1.483146,3.45649948,0.50000000
1.516854,3.56732744,0.50000000
1.550562,3.73412091,0.50000000
1.584270,3.87228936,0.50000000
1.617978,4.01309041,0.50000000
1.651685,4.19075912,0.50000000
1.685393,4.33246794,0.50000000
1.719101,4.46978340,0.50000000
1.752809,4.64229295,0.50000000
1.786517,4.80992672,0.50000000
1.820225,4.96772460,0.50000000
1.853933,5.14473467,0.50000000
1.887640,5.30837409,0.50000000
1.921348,5.48968598,0.50000000
1.955056,5.67421353,0.50000000
1.988764,5.83272703,0.50000000
2.022472,6.02401093,0.50000000
2.056180,6.20268292,0.50000000
2.089888,6.39676568,0.50000000
2.123596,6.57463860,0.50000000
2.157303,6.77457562,0.50000000
2.191011,6.97510533,0.50000000
2.224719,7.18559413,0.50000000
2.258427,7.39043846,0.50000000
2.292135,7.57097126,0.50000000
2.325843,7.78432097,0.50000000
2.359551,8.00963783,0.50000000
2.393258,8.19698655,0.50000000
2.426966,8.42886155,0.50000000
2.460674,8.65194343,0.50000000
2.494382,8.88775005,0.50000000
2.528090,9.10717809,0.50000000
2.561798,9.32495662,0.50000000
2.595506,9.55532825,0.50000000
2.629213,9.79013786,0.50000000
2.662921,10.04434147,0.50000000
2.696629,10.26413283,0.50000000
2.730337,10.50752373,0.50000000
2.764045,10.75907443,0.50000000
2.797753,11.00216939,0.50000000
2.831461,11.25207336,0.50000000
2.865169,11.49641519,0.50000000
2.898876,11.76379086,0.50000000
2.932584,12.01866102,0.50000000
2.966292,12.29678942,0.50000000
3.000000,12.55653089,0.50000000
